RSST_Accruals,recch,invch,Soft_Assets,Change_Cash_Sales,Delta_ROA,Issued,Misstated
0.011874618,-0.081325893,-0.567086934,0.8131053745727359,0.3778867506378754,0.004690279,1,FALSE
0.012399856,0.1220478440275038,-0.434524936,0.860265883,0.5266948959711003,0.00463528,1,FALSE
0.015838293,0.094931346,0.5644244066710002,0.8745653608048692,0.4918462731284655,0.004807281,1,FALSE
-0.00061697,2.3601880986408685e-05,0.043645129,0.5856621652793744,0.3412278097254935,0.004624316,0,FALSE
0.009032081,0.9389323539528012,0.2472224827763286,0.5958040295937581,0.2497162312997694,0.004715445,0,FALSE
0.013212793,0.2406825238921735,0.2708942681416026,0.5604733261892629,0.2286260257872138,0.004627442,1,FALSE
0.018481506,-0.162675388,-0.046307656,0.757442524,0.086606573,0.004702546,0,FALSE
0.014085576,-0.183012761,-0.074713798,0.8550888459345057,0.1308688500208617,0.004724163,0,FALSE
0.013875545,0.1830599651007625,0.043645129,0.9122330175891522,0.007948253,0.004810147,0,FALSE
0.004200039,0.077983534,0.3703157666757534,0.6881587083147026,-0.00436191,0.004403316,0,FALSE
0.011378421,0.2983050826835845,0.2566911969224382,0.8463412498934725,-0.029706363,0.004914865,0,FALSE
0.01215283,-0.023703334,-0.60496179,0.5900314140299265,0.004237101,0.0049328,0,FALSE
0.013036044,0.2508512107377166,0.029442057,0.629509262,-0.021197868,0.004452874,0,FALSE
0.010427783,0.3796545774479294,0.4365967656985206,0.6883921496739956,-0.031697713,0.004696138,0,FALSE
0.000610574,0.051592402,0.066701448,-0.346274356,-0.212564147,0.004348735,1,FALSE
0.013837457,0.051280563,0.053932887,-0.100031691,-0.211554533,0.004872421,1,FALSE
0.012548309,0.053324469,0.067984458,-0.32720074,-0.211453607,0.004834295,1,FALSE
-0.00614674,0.055622592,0.060646205,-0.255629287,-0.211773853,0.004197772,1,FALSE
0.004185217,0.053717658,0.06649787,0.067950598,-0.211773219,0.004082389,1,FALSE
-0.022222109,0.055181949,0.061919747,0.1187933798891333,-0.212319845,0.00439779,1,FALSE
0.009972755,0.057286867,0.06190081,-1.014936114,-0.214092689,0.003748762,1,FALSE
-0.000597782,0.052609271,0.062984977,-0.993415823,-0.213758776,0.004745246,1,FALSE
-0.048539757,0.057127558,0.060835579,-0.666155393,-0.214024893,0.003120686,0,FALSE
0.008941375,0.054049835,0.060480502,-0.883889572,-0.214119572,0.005305265,1,FALSE
